Trimestre_hidrologico,Q75_hm3,Salto_m,Rendimiento,Energia_GWh
1,18.630950400000003,20,0.85,0.8630787772800002
2,20.769739200000032,20,0.85,0.9621581684400015
3,4.508179200000001,20,0.85,0.20884140144000007
4,1.5848265600000002,20,0.85,0.073417090392
