hydro_year,hq,V_m3,n_valid,n_total,completitud,V_hm3,X,Y,mean,std,Z
1970,4,27894240.0,92,92,1.0,27.89424,27.89424,3.328420215900349,1.6667537877118288,1.6457173699870242,1.0096912498417767
1971,1,70406496.0,92,92,1.0,70.406496,70.406496,4.2542855316344035,3.2189669322030006,0.921997142112159,1.1229086860937998
1971,2,87534432.0,90,90,1.0,87.534432,87.534432,4.472032224530805,3.7390507135173414,0.8801089175118143,0.8328304559005043
1971,3,215063424.0,91,91,1.0,215.063424,215.063424,5.370932979973928,2.750636036937241,1.674736577155936,1.5646024448134501
1971,4,71098560.0,92,92,1.0,71.09856,71.09856,4.26406708343954,1.6667537877118288,1.6457173699870242,1.578225607321742
1972,1,106480224.0,92,92,1.0,106.480224,106.480224,4.667959277766086,3.2189669322030006,0.921997142112159,1.5715800834736415
1972,2,152625600.0,91,91,1.0,152.6256,152.6256,5.0279878636270725,3.7390507135173414,0.8801089175118143,1.4645200434438603
1972,3,58034016.0,91,91,1.0,58.034016,58.034016,4.06102932139124,2.750636036937241,1.674736577155936,0.7824474023725748
1972,4,93752640.0,92,92,1.0,93.75264,93.75264,4.540659824454035,1.6667537877118288,1.6457173699870242,1.7462937981658813
1973,1,119646720.0,92,92,1.0,119.64672,119.64672,4.784543400689873,3.2189669322030006,0.921997142112159,1.6980274634044614
1973,2,111748032.0,90,90,1.0,111.748032,111.748032,4.7162466226003525,3.7390507135173414,0.8801089175118143,1.11031247342167
1973,3,58504032.0,91,91,1.0,58.504032,58.504032,4.069095674939648,2.750636036937241,1.674736577155936,0.7872638933111714
1973,4,43832448.0,92,92,1.0,43.832448,43.832448,3.7803743650271016,1.6667537877118288,1.6457173699870242,1.2843156521656802
1974,1,58008960.0,92,92,1.0,58.00896,58.00896,4.060597481373807,3.2189669322030006,0.921997142112159,0.912834227710029
1974,2,94893120.0,90,90,1.0,94.89312,94.89312,4.552751205622173,3.7390507135173414,0.8801089175118143,0.9245452192499901
1974,3,74811168.0,91,91,1.0,74.811168,74.811168,4.314967178648412,2.750636036937241,1.674736577155936,0.9340759394935666
1974,4,40151808.0,92,92,1.0,40.151808,40.151808,3.69266747051215,1.6667537877118288,1.6457173699870242,1.2310216321143252
1975,1,56674080.0,92,92,1.0,56.67408,56.67408,4.037316963354912,3.2189669322030006,0.921997142112159,0.8875841299000045
1975,2,65890368.0,90,90,1.0,65.890368,65.890368,4.187992269976151,3.7390507135173414,0.8801089175118143,0.5100977248679943
1975,3,90027072.0,91,91,1.0,90.027072,90.027072,4.500110425099015,2.750636036937241,1.674736577155936,1.0446266069692935
1975,4,29570400.0,92,92,1.0,29.5704,29.5704,3.3867738609964313,1.6667537877118288,1.6457173699870242,1.0451491274581153
1976,1,12964320.0,92,92,1.0,12.96432,12.96432,2.562200968714249,3.2189669322030006,0.921997142112159,-0.7123297171878405
1976,2,16658784.0,91,91,1.0,16.658784,16.658784,2.8129376448791774,3.7390507135173414,0.8801089175118143,-1.0522709748884371
1976,3,11400480.0,91,91,1.0,11.40048,11.40048,2.433655459777206,2.750636036937241,1.674736577155936,-0.1892719019120824
1976,4,4653504.0,92,92,1.0,4.653504,4.653504,1.5376204842113257,1.6667537877118288,1.6457173699870242,-0.07846627000207289
1977,1,39070080.0,92,92,1.0,39.07008,39.07008,3.6653569566717423,3.2189669322030006,0.921997142112159,0.4841555402722055
1977,2,163696896.0,90,90,1.0,163.696896,163.696896,5.098016522682351,3.7390507135173414,0.8801089175118143,1.5440882169527244
1977,3,113010336.0,91,91,1.0,113.010336,113.010336,4.727479283555853,2.750636036937241,1.674736577155936,1.180390560272899
1977,4,55444608.0,92,92,1.0,55.444608,55.444608,4.015384468310748,1.6667537877118288,1.6457173699870242,1.4271166625758083
1978,1,77863680.0,92,92,1.0,77.86368,77.86368,4.354959605385963,3.2189669322030006,0.921997142112159,1.2320999939116635
1978,2,115471872.0,90,90,1.0,115.471872,115.471872,4.749026967835469,3.7390507135173414,0.8801089175118143,1.1475582558275468
1978,3,71452800.0,91,91,1.0,71.4528,71.4528,4.2690370918515645,2.750636036937241,1.674736577155936,0.9066506790535955
1978,4,41643936.0,92,92,1.0,41.643936,41.643936,3.7291557637752866,1.6667537877118288,1.6457173699870242,1.2531932965377397
1979,1,26663904.0,92,92,1.0,26.663904,26.663904,3.283310740638921,3.2189669322030006,0.921997142112159,0.06978742720234286
1979,2,99484416.0,90,90,1.0,99.484416,99.484416,4.6000010087822885,3.7390507135173414,0.8801089175118143,0.9782315326368568
1979,3,84330720.0,91,91,1.0,84.33072,84.33072,4.434746211436976,2.750636036937241,1.674736577155936,1.0055970577532363
1979,4,44656704.0,92,92,1.0,44.656704,44.656704,3.799004441628497,1.6667537877118288,1.6457173699870242,1.2956359899959495
1980,1,71879616.0,92,92,1.0,71.879616,71.879616,4.274992719664026,3.2189669322030006,0.921997142112159,1.14536774489542
1980,2,125762112.0,91,91,1.0,125.762112,125.762112,4.834392122433011,3.7390507135173414,0.8801089175118143,1.2445521084053393
1980,3,75568896.0,91,91,1.0,75.568896,75.568896,4.325044769954102,2.750636036937241,1.674736577155936,0.9400933582584953
1980,4,32214240.0,92,92,1.0,32.21424,32.21424,3.4724085908176767,1.6667537877118288,1.6457173699870242,1.0971840220171492
1981,1,34929792.0,92,92,1.0,34.929792,34.929792,3.553340104034335,3.2189669322030006,0.921997142112159,0.36266183110430783
1981,2,48149856.0,90,90,1.0,48.149856,48.149856,3.874318147585457,3.7390507135173414,0.8801089175118143,0.15369397057188627
